               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 107,            0.044363,            0.024555,                   0,              0.9842,                   1,               0.995,              0.2985,             0.01921,            0.012101,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.038956,             0.02345,                   0,              0.9842,                   1,               0.995,              0.2985,             0.01921,            0.012101,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.038895,            0.038717,                   0,              0.9842,                   1,               0.995,              0.2985,             0.01921,            0.012101,                   0,            0.006436,            0.006436,            0.006436
                 110,             0.03474,            0.021979,                   0,              0.9842,                   1,               0.995,              0.2985,             0.01921,            0.012101,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.037227,            0.017556,                   0,             0.98908,                   1,               0.995,               0.597,            0.018343,            0.011906,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.041572,            0.023937,                   0,             0.98908,                   1,               0.995,               0.597,            0.018343,            0.011906,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.018543,            0.017509,                   0,             0.98908,                   1,               0.995,               0.597,            0.018343,            0.011906,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.039892,             0.02432,                   0,             0.98908,                   1,               0.995,               0.597,            0.018343,            0.011906,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.050834,            0.026617,                   0,             0.96863,                   1,               0.995,              0.4975,             0.01866,            0.011562,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.041571,            0.032177,                   0,             0.96863,                   1,               0.995,              0.4975,             0.01866,            0.011562,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.048017,            0.024102,                   0,             0.96863,                   1,               0.995,              0.4975,             0.01866,            0.011562,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.040957,            0.027192,                   0,             0.96863,                   1,               0.995,              0.4975,             0.01866,            0.011562,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.044665,            0.022458,                   0,             0.98797,                   1,               0.995,               0.398,            0.023381,            0.011394,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.047936,            0.027882,                   0,             0.98797,                   1,               0.995,               0.398,            0.023381,            0.011394,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.039781,            0.024268,                   0,             0.98797,                   1,               0.995,               0.398,            0.023381,            0.011394,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.041934,            0.025444,                   0,             0.98797,                   1,               0.995,               0.398,            0.023381,            0.011394,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.023276,             0.01621,                   0,             0.98563,                   1,               0.995,               0.199,            0.029164,            0.011011,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.044793,            0.018561,                   0,             0.98563,                   1,               0.995,               0.199,            0.029164,            0.011011,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.052678,            0.018647,                   0,             0.98563,                   1,               0.995,               0.199,            0.029164,            0.011011,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.054898,            0.016826,                   0,             0.98563,                   1,               0.995,               0.199,            0.029164,            0.011011,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.045015,            0.021403,                   0,             0.99838,                   1,               0.995,               0.199,             0.03042,            0.010723,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.046486,            0.028078,                   0,             0.99838,                   1,               0.995,               0.199,             0.03042,            0.010723,                   0,            0.005809,            0.005809,            0.005809
                 129,             0.05061,            0.022385,                   0,             0.99838,                   1,               0.995,               0.199,             0.03042,            0.010723,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.039481,            0.018305,                   0,             0.99838,                   1,               0.995,               0.199,             0.03042,            0.010723,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.044839,            0.026283,                   0,             0.99611,                   1,               0.995,              0.0995,            0.030501,            0.010473,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.041859,            0.019492,                   0,             0.99611,                   1,               0.995,              0.0995,            0.030501,            0.010473,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.017367,            0.016765,                   0,             0.99611,                   1,               0.995,              0.0995,            0.030501,            0.010473,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.040949,            0.020352,                   0,             0.99611,                   1,               0.995,              0.0995,            0.030501,            0.010473,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.046662,            0.019871,                   0,             0.99763,                   1,               0.995,               0.199,            0.028916,            0.010168,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.045582,            0.015647,                   0,             0.99763,                   1,               0.995,               0.199,            0.028916,            0.010168,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.038149,            0.026627,                   0,             0.99763,                   1,               0.995,               0.199,            0.028916,            0.010168,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.043176,            0.027029,                   0,             0.99763,                   1,               0.995,               0.199,            0.028916,            0.010168,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.037876,            0.026913,                   0,             0.98052,                   1,               0.995,               0.199,            0.025698,            0.010372,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.039474,            0.021746,                   0,             0.98052,                   1,               0.995,               0.199,            0.025698,            0.010372,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.037958,            0.021328,                   0,             0.98052,                   1,               0.995,               0.199,            0.025698,            0.010372,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.040438,             0.01918,                   0,             0.98052,                   1,               0.995,               0.199,            0.025698,            0.010372,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.039605,             0.01797,                   0,             0.98026,                   1,               0.995,              0.2985,            0.019816,            0.011151,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.039128,            0.022286,                   0,             0.98026,                   1,               0.995,              0.2985,            0.019816,            0.011151,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.041088,            0.020458,                   0,             0.98026,                   1,               0.995,              0.2985,            0.019816,            0.011151,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.036066,            0.020177,                   0,             0.98026,                   1,               0.995,              0.2985,            0.019816,            0.011151,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.040465,            0.022139,                   0,             0.47895,                   1,              0.4975,             0.14925,            0.018148,            0.011161,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.034749,            0.023357,                   0,             0.47895,                   1,              0.4975,             0.14925,            0.018148,            0.011161,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.056582,            0.017706,                   0,             0.47895,                   1,              0.4975,             0.14925,            0.018148,            0.011161,                   0,            0.005116,            0.005116,            0.005116
                 150,             0.09097,            0.025157,                   0,             0.47895,                   1,              0.4975,             0.14925,            0.018148,            0.011161,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.029671,            0.020051,                   0,             0.49684,                   1,              0.4975,              0.0995,            0.022343,            0.010556,                   0,             0.00505,             0.00505,             0.00505
                 152,             0.03724,            0.028255,                   0,             0.49684,                   1,              0.4975,              0.0995,            0.022343,            0.010556,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.038814,            0.021757,                   0,             0.49684,                   1,              0.4975,              0.0995,            0.022343,            0.010556,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.040649,            0.016779,                   0,             0.49684,                   1,              0.4975,              0.0995,            0.022343,            0.010556,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.018333,            0.015713,                   0,             0.49907,                   1,              0.4975,              0.0995,            0.022646,            0.010153,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.017706,            0.014809,                   0,             0.49907,                   1,              0.4975,              0.0995,            0.022646,            0.010153,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.016081,            0.013448,                   0,             0.49907,                   1,              0.4975,              0.0995,            0.022646,            0.010153,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.041574,            0.025913,                   0,             0.49907,                   1,              0.4975,              0.0995,            0.022646,            0.010153,                   0,            0.004819,            0.004819,            0.004819
                 159,             0.04625,            0.017693,                   0,             0.49927,                   1,              0.4975,              0.0995,            0.023274,           0.0096955,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.034483,            0.023344,                   0,             0.49927,                   1,              0.4975,              0.0995,            0.023274,           0.0096955,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.039676,            0.018788,                   0,             0.49927,                   1,              0.4975,              0.0995,            0.023274,           0.0096955,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.040012,            0.027023,                   0,             0.49927,                   1,              0.4975,              0.0995,            0.023274,           0.0096955,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.043123,            0.018549,                   0,             0.99658,                   1,               0.995,               0.199,            0.022924,           0.0095647,                   0,            0.004654,            0.004654,            0.004654
                 164,             0.04633,            0.023382,                   0,             0.99658,                   1,               0.995,               0.199,            0.022924,           0.0095647,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.035081,            0.022081,                   0,             0.99658,                   1,               0.995,               0.199,            0.022924,           0.0095647,                   0,            0.004588,            0.004588,            0.004588
                 166,             0.03956,            0.025699,                   0,             0.99658,                   1,               0.995,               0.199,            0.022924,           0.0095647,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.037034,            0.030288,                   0,             0.99158,                   1,               0.995,               0.199,            0.022102,           0.0092982,                   0,            0.004522,            0.004522,            0.004522
                 168,             0.03733,            0.020257,                   0,             0.99158,                   1,               0.995,               0.199,            0.022102,           0.0092982,                   0,            0.004489,            0.004489,            0.004489
                 169,            0.036323,            0.029018,                   0,             0.99158,                   1,               0.995,               0.199,            0.022102,           0.0092982,                   0,            0.004456,            0.004456,            0.004456
                 170,            0.043408,            0.021324,                   0,             0.99158,                   1,               0.995,               0.199,            0.022102,           0.0092982,                   0,            0.004423,            0.004423,            0.004423
                 171,             0.03697,            0.020053,                   0,             0.99669,                   1,               0.995,               0.199,            0.023268,           0.0090502,                   0,             0.00439,             0.00439,             0.00439
                 172,            0.040239,            0.024716,                   0,             0.99669,                   1,               0.995,               0.199,            0.023268,           0.0090502,                   0,            0.004357,            0.004357,            0.004357
                 173,            0.047733,             0.01884,                   0,             0.99669,                   1,               0.995,               0.199,            0.023268,           0.0090502,                   0,            0.004324,            0.004324,            0.004324
                 174,            0.034671,            0.020882,                   0,             0.99669,                   1,               0.995,               0.199,            0.023268,           0.0090502,                   0,            0.004291,            0.004291,            0.004291
                 175,            0.048975,            0.016419,                   0,             0.99727,                   1,               0.995,              0.0995,            0.023817,           0.0090503,                   0,            0.004258,            0.004258,            0.004258
                 176,            0.040749,            0.020143,                   0,             0.99727,                   1,               0.995,              0.0995,            0.023817,           0.0090503,                   0,            0.004225,            0.004225,            0.004225
                 177,            0.015054,            0.013564,                   0,             0.99727,                   1,               0.995,              0.0995,            0.023817,           0.0090503,                   0,            0.004192,            0.004192,            0.004192
                 178,            0.032929,              0.0215,                   0,             0.99727,                   1,               0.995,              0.0995,            0.023817,           0.0090503,                   0,            0.004159,            0.004159,            0.004159
                 179,            0.043125,            0.021018,                   0,             0.99326,                   1,               0.995,              0.0995,            0.022885,           0.0090265,                   0,            0.004126,            0.004126,            0.004126
                 180,            0.035001,            0.023616,                   0,             0.99326,                   1,               0.995,              0.0995,            0.022885,           0.0090265,                   0,            0.004093,            0.004093,            0.004093
                 181,            0.037116,            0.017184,                   0,             0.99326,                   1,               0.995,              0.0995,            0.022885,           0.0090265,                   0,             0.00406,             0.00406,             0.00406
                 182,             0.03541,             0.02232,                   0,             0.99326,                   1,               0.995,              0.0995,            0.022885,           0.0090265,                   0,            0.004027,            0.004027,            0.004027
                 183,            0.039555,            0.019287,                   0,             0.99414,                   1,               0.995,              0.0995,            0.021685,           0.0092468,                   0,            0.003994,            0.003994,            0.003994
                 184,            0.014456,            0.014306,                   0,             0.99414,                   1,               0.995,              0.0995,            0.021685,           0.0092468,                   0,            0.003961,            0.003961,            0.003961
                 185,            0.044767,            0.020851,                   0,             0.99414,                   1,               0.995,              0.0995,            0.021685,           0.0092468,                   0,            0.003928,            0.003928,            0.003928
                 186,             0.03426,            0.021383,                   0,             0.99414,                   1,               0.995,              0.0995,            0.021685,           0.0092468,                   0,            0.003895,            0.003895,            0.003895
                 187,             0.09989,            0.019888,                   0,             0.99537,                   1,               0.995,              0.0995,            0.021711,           0.0091683,                   0,            0.003862,            0.003862,            0.003862
                 188,            0.044958,            0.022097,                   0,             0.99537,                   1,               0.995,              0.0995,            0.021711,           0.0091683,                   0,            0.003829,            0.003829,            0.003829
                 189,            0.051659,            0.017645,                   0,             0.99537,                   1,               0.995,              0.0995,            0.021711,           0.0091683,                   0,            0.003796,            0.003796,            0.003796
                 190,            0.056205,            0.015376,                   0,             0.99537,                   1,               0.995,              0.0995,            0.021711,           0.0091683,                   0,            0.003763,            0.003763,            0.003763
                 191,             0.03326,            0.018101,                   0,             0.99512,                   1,               0.995,              0.0995,            0.020028,           0.0092137,                   0,             0.00373,             0.00373,             0.00373
                 192,            0.036156,            0.022486,                   0,             0.99512,                   1,               0.995,              0.0995,            0.020028,           0.0092137,                   0,            0.003697,            0.003697,            0.003697
                 193,             0.04096,            0.020321,                   0,             0.99512,                   1,               0.995,              0.0995,            0.020028,           0.0092137,                   0,            0.003664,            0.003664,            0.003664
                 194,            0.042054,            0.023403,                   0,             0.99512,                   1,               0.995,              0.0995,            0.020028,           0.0092137,                   0,            0.003631,            0.003631,            0.003631
                 195,            0.031944,            0.019297,                   0,             0.99819,                   1,               0.995,               0.199,            0.019162,           0.0091794,                   0,            0.003598,            0.003598,            0.003598
                 196,            0.015906,            0.014854,                   0,             0.99819,                   1,               0.995,               0.199,            0.019162,           0.0091794,                   0,            0.003565,            0.003565,            0.003565
                 197,            0.088031,            0.023687,                   0,             0.99819,                   1,               0.995,               0.199,            0.019162,           0.0091794,                   0,            0.003532,            0.003532,            0.003532
                 198,            0.031947,            0.023451,                   0,             0.99819,                   1,               0.995,               0.199,            0.019162,           0.0091794,                   0,            0.003499,            0.003499,            0.003499
                 199,            0.029585,            0.019218,                   0,              0.9982,                   1,               0.995,               0.199,            0.017591,           0.0092089,                   0,            0.003466,            0.003466,            0.003466
                 200,            0.027565,            0.018454,                   0,              0.9982,                   1,               0.995,               0.199,            0.017591,           0.0092089,                   0,            0.003433,            0.003433,            0.003433
                 201,             0.03916,            0.026023,                   0,              0.9982,                   1,               0.995,               0.199,            0.017591,           0.0092089,                   0,              0.0034,              0.0034,              0.0034
                 202,             0.02911,            0.025638,                   0,              0.9982,                   1,               0.995,               0.199,            0.017591,           0.0092089,                   0,            0.003367,            0.003367,            0.003367
                 203,            0.040924,            0.021769,                   0,             0.99871,                   1,               0.995,              0.2985,            0.017219,           0.0090283,                   0,            0.003334,            0.003334,            0.003334
                 204,            0.036105,            0.021574,                   0,             0.99871,                   1,               0.995,              0.2985,            0.017219,           0.0090283,                   0,            0.003301,            0.003301,            0.003301
                 205,            0.046762,             0.01655,                   0,             0.99871,                   1,               0.995,              0.2985,            0.017219,           0.0090283,                   0,            0.003268,            0.003268,            0.003268
                 206,            0.039192,            0.022216,                   0,             0.99871,                   1,               0.995,              0.2985,            0.017219,           0.0090283,                   0,            0.003235,            0.003235,            0.003235
                 207,            0.049402,            0.019284,                   0,              0.9994,                   1,               0.995,              0.2985,            0.017905,           0.0087521,                   0,            0.003202,            0.003202,            0.003202
                 208,            0.038299,            0.021804,                   0,              0.9994,                   1,               0.995,              0.2985,            0.017905,           0.0087521,                   0,            0.003169,            0.003169,            0.003169
                 209,            0.041952,            0.017042,                   0,              0.9994,                   1,               0.995,              0.2985,            0.017905,           0.0087521,                   0,            0.003136,            0.003136,            0.003136
                 210,            0.037217,            0.031354,                   0,              0.9994,                   1,               0.995,              0.2985,            0.017905,           0.0087521,                   0,            0.003103,            0.003103,            0.003103
                 211,            0.037759,            0.020242,                   0,             0.99792,                   1,               0.995,              0.2985,            0.018957,            0.008446,                   0,             0.00307,             0.00307,             0.00307
                 212,            0.036932,             0.01675,                   0,             0.99792,                   1,               0.995,              0.2985,            0.018957,            0.008446,                   0,            0.003037,            0.003037,            0.003037
                 213,            0.045735,            0.016923,                   0,             0.99792,                   1,               0.995,              0.2985,            0.018957,            0.008446,                   0,            0.003004,            0.003004,            0.003004
                 214,            0.045075,            0.017041,                   0,             0.99792,                   1,               0.995,              0.2985,            0.018957,            0.008446,                   0,            0.002971,            0.002971,            0.002971
